text,true_label,predicted_label,confidence,true_prob
warning read consider deleted talk page please quit fascist,1,0,0.99444157,0.0055584135
instead making mistake many make stop think bit church council making anything happened church always believed bible never questioned misguided fool would start preach false doctrine went bible church simply said hay look bible say reject bible say cannot christian conspiracy dark room meeting church set cannon ad fake writing gnostic gospel written fooled church forced make list real bible verse gnostic one church speak deity jesus gnostic cult began make false writing church simple said john said jesus god believe get thing happening today much talk homosexuality church today simple need speak homosexual community started twist bible church forced say hay bible say happened regarding slavery sure happen furture group come along try add bible,1,0,0.55411774,0.4458823
removed insulting statement changed place article removed entire post blog put title garbage article hinder time restablish took decisiv action time acuused vandalising text site fact,0,1,0.977948,0.022052051
guy right knobjockey,0,1,0.98996127,0.010038774
probably every thug early thought draw conclusion nix,1,0,0.9112438,0.08875615
oldafdfull page cockblock nomination date august result keep,1,0,0.9984445,0.0015555747
word describe annoying find wikipedians,0,1,0.9959745,0.004025536
tell bos around true anyway biggest nooblet ever seen wikipedia flash,1,0,0.9900135,0.009986521
stepped nowhere interfering issue understand think contributor ethnic minority page editing thus best position know inferior people contact minority typical british colonialist patronising racist attitude,0,1,0.786689,0.21331094
new section ani new section ani post complaint matter sure agree serious matter marek stubborn ignorant ignoring please rally together rise change thing,1,0,0.7735464,0.22645354
edit war finally book notable considered minor also youngster least year old put diaper raptor talk page spamming mean spam,0,1,0.99865556,0.0013443665
example buboos ooff pumpf,1,0,0.6369863,0.36301365
sanctioning bunch bigot mean nothing,1,0,0.998276,0.0017240085
know maybe either person turn guy put buy american car must afterwards sex cousin american took guy came back sockpuppet jeremy clarkson talk page got blocked week reverting guy vandalism incest remark put back thing dont agree vandalism cant say something like source could put page source clear cut vandalism first half sentence actual quote spiced incest blocked nearly twice taking ryulong think talking something else sending smug email told get lost wouldnt told thats life said message everytime anything get yellow messgae incest last guy put feel ryulong desperate article say american sex cousin dont provide source right looked google got something else sleeve,1,0,0.9528141,0.047185883
troll like one little furry haired thing anyway saw sandbox anyone ever tell look like harry potter,0,1,0.973383,0.026617035
care saw provoke saying atht stalking real life taunted sole intention getting reaction,1,0,0.6226725,0.3773275
carol swear god know seen yet keep mouth shut voice state people know complicating sounding unwitting participant movement result destruction people freedom,1,0,0.7290587,0.27094132
war zone solarra shouldnt messed,0,1,0.99898225,0.001017709
tremendously interfering feel ashamed anyway entitled remove message talk page talk page anywhere else unless text remove shitshitshitcockshitcockshittycock get warning disapproval best practice archive even handy removing part discussion particular run risk interrupting flow discussion conversation partner big deal anyone else reading page particularly discussing article often user talk page become impromptu talk page two people debating issue yet wikipedia rule more immediately apparent new user talk wikipedia rule simple complex,0,1,0.6821184,0.31788155
look someone let admit tempural problem improve maybe talk something someone instead let make administrator shut smart mouth good agree,1,0,0.990859,0.009141039
china armed hitler,1,0,0.9546923,0.04530774
want talk page got time spend kiddo,0,1,0.99438345,0.005616528
skater chick skater chick,1,0,0.9874178,0.012582224
hard feeling hope flame ing william shatner reason leaving wikipedia sorry come back say beefcake beefcake,1,0,0.9938611,0.0061389212
ummm narcisistic wrote article,1,0,0.8085606,0.19143933
delete accounttttt nao,1,0,0.9958597,0.0041403887
meat puppet would tim foxworth,0,1,0.883983,0.11601697
lord everyone lord everyone use godlike power reject anything disagree maybe read decision added explain changed section one reason people hate wikipedia become bastion god hating atheist vomit presupposition ban delete anyone try add balance wikipedia joke narcissist switching change back ban away pseudo god,1,0,0.9925062,0.007493737
forge anyoones signature copied pasted something archive unblock going acuman take admin going guy racist edits pissed looked contribution negative trying portray bad image mid eastern people even saw racist comment really pissed guy see trying make arab iranian fight low tell like foreign policy israel,1,0,0.97694665,0.023053385
many free image scanned new user name bbbbbastard,0,1,0.9991491,0.0008508863
source people propaganda following comment deleted band promotes croatian patriotism ultra nationalism sings topic love one country family religion also hatred serb croatian social democrat dealing topic made band controversial perković known openly promote ustaša ideology wear black clothes salute corresponding way often openly supported ustaše ndh statement medium ultra nationalism ultra nationalism mean want destroy everything nation patriotism mean love nation respect others song promote hate nation mentioning song created time war serb time war mention song written accused performing hatred toward sdp name source right wing widely known course disagrees politics considers politics bad croatia hatred reliable source please promote openly ustashe citation please wear black clothes rocker ustashe rock roll equal fascism rock singer course wear black clothes salute us old salute croatian noble existed long ustashe despite statement confirming support ustaše actually outnumber denouncement virtual nsdap equivalent noted publicly voiced support ndh various degree medium least twenty occasion credibility statement diminished fact also legal necessity denounce fascist movement order avoid banning legal action see already discussed feral reliable tabloid reliable newspaper used quotation feral may true link check meaning may taken contest could totally fifferent meaning original contest reliable one question couple month ago translated two perkovic statement jutarnji list vecernji list put relevant source link article picture also someone deleted without giving explanation discussion page wikipedia change must explained shame anyone us kind sneaky method,0,1,0.99903166,0.0009683708
give page free speech communist,1,0,0.9917863,0.008213741
help please evil wikipedia editor attack aviation pioneer coanda vuia constantly unfortunately evil wikipedia editor us multitude name romanianlies romaniantruths binksternet soundofmusicals andy dingley graemeleggett bilcat also bord editor power wikipedia ordinary contributor attacking three year various aviation pioneer amongst others traian vuia henri coanda unknown reason general soon see two name wikipedia article immediately add word unsuccessful unjustified bad characterization multiple time attempt delete unfair remark always fails user dare confront romanianlies get suspended something done idea feel free share man paid donation wikipedia supporter simply abuse position denigrates justification personality like,1,0,0.6604952,0.33950475
twit hopefully tire soon talk,0,1,0.9995467,0.00045328552
criticism given band utterly shit article current state portrays far positive light therefore make npov ought section bad music entitled criticism,1,0,0.9864607,0.013539305
best say wow making little speech user talk page really show immature god child old alias video game case figured blocked twice fact anal retentive cry like little baby everytime thing way like daymee favor deal new stalker friend instead bothering way hell username stand preceding unsigned comment added,1,0,0.9898038,0.0101962555
egg please hurt egg,1,0,0.97253066,0.027469372
osama bin laden sunni mullah omer sunni qaida sunni belief apostasy punishable death sunni kidding,0,1,0.99506664,0.004933374
aware wikipedia guideline regarding poopie pant though pretty sure least implicit consensus good also pretty sure somehow pant physically spiritually metaphorically full poop reason consider comment like personal attack pant woefully full poop one aforementioned modality contribution benzodiazepine poop may lead page information useful removing pant bos,0,1,0.99703157,0.0029684517
problem something jeeze never anything harassing going report,0,1,0.9686137,0.031386293
regarding threat please stop deliberately misconstruing policy studied quite thoroughly earlier disagreement consider threat incivil behavior,0,1,0.99825686,0.0017431339
wil wheaton wil wheaton love star war jerk,1,0,0.99853754,0.0014624497
also like know simply expressing opinion support friend talkpage consitutes disruption personal attack definition personal directed someone comment directed one particular name mentioned simply degganged ranting disgruntled old lunatic acted upon must struck nerve somewhere,0,1,0.83308303,0.1669169
stick block sun shine longer willing contribute project run petty minded individual,1,0,0.9302588,0.06974117
xerces thank making clear anti semite advocate ethnic cleansing ew indigenous homeland judah samaria racist like editing jewish related article,0,1,0.57083184,0.4291682
removing irrelevant nonsense hominem attack place reasonable argument show bankruptcy silence persistent come,0,1,0.54195076,0.45804927
deserve alive look shoulder,0,1,0.9378881,0.062111855
ridiculous suggestion think certain flag british would relevant united kingdom,0,1,0.8652694,0.13473059
clean crap many reference reference line multiple occurences double triple even quadruple referencing page completely unnecessary someone take time clean,1,0,0.99327797,0.0067219636
destroy modernist make pay hatred stoicism classicism,1,0,0.9938269,0.006173051
please interfere affair mind business responsible facing loss please need help intend harm never think even try wikipedia property,0,1,0.9994879,0.0005120445
look forward deal ing,1,0,0.9950566,0.004943403
true reverted wrote atleast two people think james berardinelli douche bag true friend think douche bag would delete true sir destroying wikipedia ask edgar think douche bag right yes see think james berardinelli douche bag person writing think james berardinelli douche bag true delete guy,1,0,0.9973022,0.0026978436
official death certificate russian government say dec language wikipedias say grow,0,1,0.92946804,0.07053201
many broken nostril pancreas,1,0,0.98261607,0.017383987
knew post truthful admins hate anything even stalking said much one even said stupid enough third article yet report ani would even take seriously think ksy,1,0,0.98406166,0.015938303
serious stuff sherlock holms sidekick watson camping dark clear moonless night middle night watson suddenly perhaps even indignantly awakened famed detective say watson look night sky tell deduce watson rubbing eye moment responds saying well let see star countless star sky even see milky way galaxy star see clearly naked eye small fraction total number star logical deduction may likely countless cannot see small percentage star planet small portion would contain solar system like star even small portion contain planet similar capability house life living planet encircling star able house intelligent life would forced conclude logical inference may countless star around circle planet like housing intelligent sentient life form perhaps unlike even right watson listened long winded diatribe patience finally albowed watson hard exclaimed idiot watson somebody stole tent,0,1,0.913572,0.08642805
hello john decided delete informative page wondered name stand colon deficiency wanker,1,0,0.9982041,0.0017958687
eat clown whatever call making wanton edits last night process people trying restore censored error submission probably got lost feel free resubmit,1,0,0.99472964,0.005270378
dan keep responding fact dan keep taking personal shot delusional fan please stop harassing,1,0,0.99297684,0.0070231855
trust hell angel say fine reference black community saying thing picture trust say prejudice hole,1,0,0.99633944,0.0036606223
threaten inserting pov laden edits everything put source welcome stop threatening behave civil manner time,1,0,0.91686743,0.08313255
botanical science one many area utter ignorance far understand new article worthwhile start regret caused deletion predecessor anyway wish new article best encourage struggle ignoramus july utc,1,0,0.55563843,0.44436163
attention poop page self destruct second suggest leave fcs computer lab press alt right,1,0,0.9904862,0.00951376
watch step careful block article delete difficult learn precisely real world coward behind loud account either take step back community friend holding palm sky disbelief smalljim suddenly stopped editing however know exactly editing let face else edits inside coffin,1,0,0.98997027,0.010029741
died dog death shame pikachu,1,0,0.998796,0.0012040215
reason respect anyone damned project every effort ever made dismantled torn apart people dedicated dismantling others work care whatever want,0,1,0.95707935,0.042920653
block look buddy dont even come close admin site try impress someone else pretend yanksox,1,0,0.97915864,0.020841382
one corrupt administrator well jolly well get talk page deleting anything please meet guideline made year ago,0,1,0.9032962,0.09670386
month crazy spending time wikipedia think site site belongs let people editing know much little guy,0,1,0.9901119,0.009888181
lothar von trotha good riddance killed many innocent herero died typhoid fever pain caught poisoned food drink info available mywikibiz com lotharvontrotha,0,1,0.99871755,0.0012824513
would like point waugh quoted article saying really intend drown certainly mind sound unsure whether actually intending kill certainly suicide bid,1,0,0.94461274,0.055387296
childish behavior wow pretty bold someone whose page look like christmas tree kiddy font photo ornament eight year old made page call childish lol,0,1,0.76608634,0.23391363
use didnt even get chance add link stuff whoever else keep messing guy annoying let least get chance finish damn page thats hard delete started page guy ready delete nothing delete didnt even get write section god sake back deleted even though nothing delete thanks whoever else kai,0,1,0.67370856,0.32629147
cattiness towards read catty comment collusion radh slander whitewashing stalin shortlived crusade wikipedia longer showed class far less bias admin whatever hate stalin never defended really messed january utc,1,0,0.6244649,0.37553504
plus think guy,0,1,0.9981838,0.0018161971
shooda beefede jada joe na tho game lookin end beef way sum gonna get hurt dont squash game unit made ther mistake time make ammends,1,0,0.9559343,0.044065792
hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chicken rice hey guy love chic,1,0,0.9936107,0.006389271
come really necessary understand coming sound like whiney bitch website anyone edit sort stuff come territory really expect anyone people troll read comment talk royal rumble talk page matter confident active member added wrestlemania xxiv watch list something liking added removed simple putting people reading talk page quit endless dan,1,0,0.9856989,0.014301146
ani please threaten blocking expressing opinion making case editor spewing anti semitic bile wikipedia jew baiting attacking incessantly appreciate intimidation tactic thanks,1,0,0.9716017,0.028398288
nice guy irishpunktom take gut speak bully,1,0,0.9967158,0.003284274
administrator monarch also know kind relationship sitush joshua jonathan group rogue following word,0,1,0.9999201,7.9824036e-05
rubbish make criterion supposedly agree,1,0,0.9891649,0.010835143
said edit summary blank wrong nowu say formatting formattting move personal section bio section dont help since youre agnostic,0,1,0.9990232,0.0009767807
could fooled hen last time checked come low land edited tape,1,0,0.78895396,0.21104608
screwjob hey noticed comment montreal screwjob discussion page decided since nobody except someone account objected said would atleast change page little make fair wanted tell thought would like know changed word top first paragraph added something second one bothered thats fine thought since fighting nothing even said might aswell tell,1,0,0.9963368,0.0036631515
bloody gir image dunno,1,0,0.9939022,0.0060977815
going get banned wikipedia continue vandalism,1,0,0.8433106,0.1566894
nyc center puerto rican american community every page regarding puerto ricans make seem like new york epicenter puerto ricans across world news buddy period stop making seem like newyork glorious wonderful capital alll boricuas worldwide new york cuz obviously dont like city alot puerto ricans moving orlando tampa philly even boston puerto rico new york declining population want one leaving drove,0,1,0.9995214,0.00047868566
rent damned high party fringe candidate name party censored state board election put article,1,0,0.67379916,0.3262008
seems people biased add trait making claim without citation deleted almost anything citation obviously biased opinion astrogical fact people must stop acting immature behaving like arrogant little prick concerning zodiac greek know lot concerning greek culture zodiac permit lie twist something created ancestor,1,0,0.9592845,0.04071549
stop claiming amendment law everything else void congress pass law amendment law shocking enjoy sheep clearly idea talking,1,0,0.9752759,0.024724115
hell happened ronin somebody removed ronin list,1,0,0.9986657,0.001334361
prior quickpolls would perma blocked guess remove block soon get time probably november got brain let particular troll sleep best,0,1,0.76791435,0.23208563
blowing earth,1,0,0.99299204,0.007007915
true bet godwin cry sleep lot go poor guy,1,0,0.9886947,0.01130533
discussion page suggestion made wtf pat cannot handle truth step aside,1,0,0.9963329,0.0036671478
record male relative sexual experience minute send message informing comment constructive unless busy stroking nephew pubes,1,0,0.995096,0.004904
believe ever called idiot apologize remove,1,0,0.9995634,0.0004366442
heard saint chris lost sainthood someone hell please tell true,1,0,0.9751301,0.024869965
ing consensus nothing sort said talk page,1,0,0.9956326,0.004367416
gnaa source stc may know gay nigger association america article deleted many time really lacking single notable source number notable source ranging academic paper gawker boingboing atlantic magazine current list source would like elicit help get article unlocked best way unfamiliar wikipedia policy weev talk,1,0,0.99741507,0.0025848756
removal sentence reverted remove sentence part contained however load nonsense dakota,0,1,0.97870195,0.021298084
four neo con revisionist refuse believe conrad black prison fraud million people realize conrad black convicted fraud prison four clown probably believe holocaust never happened well certain four editor agree lot perhaps work revising article liking well,0,1,0.54594207,0.45405802
see hovah strong ruin mischief,1,0,0.9833067,0.01669336
yes sir twat talk,1,0,0.9842471,0.015752856
used arse,1,0,0.9998987,0.00010135856
mean united state government extremely corrupt,0,1,0.9747806,0.025219398
wow see lawyer kind half assed lawyer even believe innocent proven guilty,0,1,0.9855703,0.014429667
odd stage ever said shopping centre management maybe maybe maybe marketing agent team consultant maybe know although one thing certain far greater power kept article link suggests insignificant dare challenge area money talk bullshit walk bye bye away edit insignificant lesbian topic team watching attempted edits try unless want thrown wikipedia would even think editing article many others tried failed miserably,1,0,0.6631657,0.33683434
want play game follow rule die still might depending mood unattended knife around feeling extra stabby today truly stabber stabee,1,0,0.9594377,0.04056229
thank agreeing know fact people would watch much minute spongebob episode released past bunch braindead toddler,1,0,0.9692432,0.030756854
anonymous mean everybody sockpuppet,1,0,0.808447,0.19155298
wiki hounding anti catholic agenda action fly stop trying carry campaign blood libel know method dealing understand stop poisoning well,1,0,0.98656833,0.013431724
eunuch,1,0,0.9957172,0.004282812
user get reported ohh man people couldnt non thorough dont doubt zis englishman say zis proove source german guy deciding represented fact wikipedia doubt good fight omg,0,1,0.9804037,0.019596253
person criminal,0,1,0.99675626,0.0032437583
knew catch kizzle course washington time paper print know liberal paper cover lol love big daddy liberal anti semetic pervert one edit wikipedia,1,0,0.9840732,0.015926767
user talk hesperian anyone ask opinion would seem wackipedia run along similar line nazi germany,0,1,0.996461,0.0035389801
stop disruptive edits worst included deleting king kong jaw article consider final warning said say good bye editing wikipedia,0,1,0.9543256,0.045674417
catfights banning performance section end admonition world thereminitude markednay scarredby brawl catfights presumably murder cannibalism whether right touch coil thingys could citation theremin induced brawl something man freakin theremin,1,0,0.9672861,0.032713864
search wikipedia maybe play less shitball football rick,1,0,0.9957424,0.004257608
alleged lie use word alleged conviction suspension online several verifable source akc pet abuse news story covering seriousness animal abuse ordered aol today ignoring fact next dead dog dropped house cry try find home one live thru abuse jeannine palma,0,1,0.99739957,0.0026004072
swine blocked yet absolutely miraculous surely matter time nobbled,1,0,0.9950117,0.004988306
poop pant,1,0,0.9997975,0.00020253168
look mirror bucko time tag time fix time grow stop asking others work talk,0,1,0.9916585,0.008341515
hello anything also btw see address show comment dare rude say rude thing say jail know realized bwcny,0,1,0.97987705,0.020122943
way whoever wrote fact wrongit year old son second check yes many others think read section england arcticle time quote pro soccer manager anyone call david beckham thick absolute fool allardyce said produce produced level intelligence football year pure genius like top top player academically sound best deemed thick load rubbish way someone like beckham wayne rooney football pitch brain make incredible decision genius,1,0,0.8282523,0.1717477
call person trying best undermine true history gustave whitehead inappropriate,1,0,0.98811674,0.011883295
oregon vortex hello queen cake comment veracity worthiness edit article oregon vortex nothing short rude believe eye witness less reliable someone less never someone never energy oppotunity experience thing article derides optical illusion occurs two people happen controlled environment take place great outdoors also seen golf ball many many thing see wikipedia nothing forum frustrated editor writer never sold anything worthwhile last claim fame going worth regardless whether distort truth getting name important arrogance even live let alone oregon vortex many many time swear warehouse bible phenomenon phenomenon way name joke enclyclopedia medium spiritualist medium sensistive energy good bad tell need vigorous cleaning msmedium,0,1,0.993853,0.006147023
racist censorship vandalism racism racism,1,0,0.99683386,0.0031661778
kidding take threat shove,1,0,0.9921313,0.007868669
source term obvious sick brain word battle rifle official source mean used battle word used separate battle rifle sport hunting rifle russian state standard definition term battle small arm sport small arm training small arm hunting small arm fun bullshit article exists year many cross link good indicator knowledge level wikipedia editor viva wikipedia,1,0,0.77126056,0.22873946
cannot believe continue take drastic measure watch step may last,0,1,0.9997515,0.00024849933
cannot speak typatigertot opinion ta faculty always dysfunctional retard phrase extreme,1,0,0.99436414,0.0056358394
yamla man woman antidemocratic paid asus bye,1,0,0.9998982,0.000101749
congratulation anal retentive people complain collapsible box reason code longer work awesome article actually well written formatted used look like abortion people brag usually much one stumbled school hungry clothes fit foster home still scored percentile rank mean absolutely squat biggest complaint artist one least intellectual creativity ability looked thyroid gland article listed thyroid part endocinal jubachina system rocket scientist bragging high college degree yet sat year guy masquerading doctor calling doc james got major malfunction guy contributing article dog feces retard throw scrub take picture call doctor going sign different name going pretend rhodes scholar nuclear physicist put thing like user user page going superimpose brad pitt face body instead mister bean,1,0,0.990226,0.009774079
surely sockpuppet boriquastar must sock puppet long blocked finally dominican republic article coming shape,0,1,0.95044184,0.04955819
poor theory,0,1,0.9992094,0.0007905395
hail wikinazi known anetode,0,1,0.8965949,0.103405155
think find grob use dash hyphen article revert grob grob,1,0,0.89644444,0.103555605
know jimi member size except put anything like article remove nanosecond far plaster cast yes woman famous making plaster cast sort rock musician penis google plaster caster rock music find sure hell belong article,1,0,0.9937471,0.006252926
enough nonsensical reverts aaron asked reference told others get reference add text article still argue validity voluntaryslave give sound reason removing edit duck talk,0,1,0.9880975,0.011902453
emphasis also led boa conclude anthropologist obligation speak social issue boa especially concerned racial inequality demonstrated biological origin rather social boa credited first scientist publish idea peopleincluding white african american equal much scientist idiot wrote scientist said equal advice jew slrubenstein make less ridiculous need thank,0,1,0.9944319,0.005568121
citing mother,0,1,0.9987024,0.0012975173
kane clone going like fake undertaker realy meant kanes evil side,1,0,0.9483978,0.051602174
dude encourages vandalism page put display know kid lay let want even someone user page chill,1,0,0.60831887,0.39168116
ban able get ban disabled downgraded lesser extent personal attack someone else although take responsibility vandalising eric bana added end bana make banana ashamed admins accept appeal,1,0,0.81906277,0.18093725
get laid get nice boy girlfriend little fun maybe make little less uptight give alternative online equivalent mall security guard,0,1,0.8474719,0.1525281
think troll think islamist photo never first place people made horrible mistake granting islamist wish,0,1,0.98377174,0.01622828
going make sure exposed drop relation anti american hate group going make sure exposed drop relation anti american hate group,0,1,0.95187503,0.048125
fcw check list mo reliable source source avoid punk,0,1,0.9985291,0.0014709032
